Price,Brand,Model,Version,Year,Milleage,Doors,Fuel,Shield,Color,Transmision,Direction,Traction,Only owner,Motor,Cylinders
21.800.000,Renault,Sandero,Expression,2013,88.000 km,5,Gasolina,DMK841,Gris,Mecánica,Hidráulica,4x2,Sí,nan,nan
28.000.000,Renault,Sandero,Autentique 1600 CC,2017,18.000 km,5,Gasolina,ISU-115,Gris,Mecánica,Hidráulica,4x2,nan,nan,nan
38.500.000,Renault,Sandero,RS MT 2000,2017,29.600 km,5,Gasolina,JBN196,Blanco,Manual,Hidráulica,nan,nan,nan,nan
27.000.000,Renault,Sandero,Expression,2017,111.008 km,5,Gasolina,IYO721,Blancopuro,Manual,Hidráulica,4x2,nan,nan,nan
19.800.000,Renault,Sandero,Dynamique,2011,92.300 km,4,Gasolina,Kix317,Grisplatina,Mecánica,Hidráulica,nan,nan,nan,nan
23.800.000,Renault,Sandero,AUNTENTIQUE MT 1600,2016,53.900 km,5,Gasolina,USZ278,GRISBEIGE,Mecánica,Hidráulica,nan,nan,nan,nan
23.000.000,Renault,Sandero,GT LINE MT 1600 16V,2012,55.000 km,5,Gasolina,DLW168,PLATA,Manual,Hidráulica,nan,nan,nan,nan
23.700.000,Renault,Sandero,SANDERO AUTENTIQUE FULL,2015,72.000 km,5,Gasolina,UEK506,Gris,Mecánica,Hidráulica,nan,nan,nan,nan
21.500.000,Renault,Sandero,Authentic,2013,78.905 km,5,Gasolina,MFX582,Gris,Mecánica,Hidráulica,4x2,nan,nan,nan
26.900.000,Renault,Sandero,MT,2016,12.300 km,5,Gasolina,IOR-617,Gris,Mecánica,Hidráulica,4x2,Sí,nan,nan
21.000.000,Renault,Sandero,GT MT 1600CC 8V FE,2010,103.000 km,nan,Gasolina,Fhn466,Gris,Manual,Hidráulica,nan,nan,1600,4
30.500.000,Renault,Sandero,Expression,2018,22.718 km,5,Gasolina,DNP094,Gris,Manual,Hidráulica,4x2,nan,nan,nan
27.900.000,Renault,Sandero,GT LINE MT 1600CC 16V,2016,36.800 km,nan,Gasolina,Ihr073,Blanco,Manual,Asistida,nan,nan,1600,4
32.500.000,Renault,Sandero,AT 1600,2018,13.000 km,5,Gasolina,JHR733,Blanco,Automáticasecuencial,Hidráulica,nan,nan,nan,nan
19.500.000,Renault,Sandero,MT 1600,2016,98.000 km,5,Gasolina,HHP932,Rojo,Mecánica,Hidráulica,nan,nan,nan,nan
23.800.000,Renault,Sandero,AUTHENTIQUE MT 1600CC 8V AA,2016,34.300 km,nan,Gasolina,IFZ647,Rojo,Manual,Hidráulica,nan,Sí,1600,nan
18.000.000,Renault,Sandero,EXPRESSION MT 1600CC 8V AA,2012,nan,nan,nan,DFY008,Gris,Mecánica,Hidráulica,nan,nan,1600,nan
18.900.000,Renault,Sandero,DYNAMIQUE MT 1600,2011,36.848 km,4,Gasolina,KIY091,Plata,Manual,Hidráulica,nan,nan,nan,nan
29.000.000,Renault,Sandero,Authentique,2018,24.365 km,5,Gasolina,***-**5,GrisComet,Mecánica,Asistida,4x2,Sí,nan,nan
